ID,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,objType,typeSrc,ra,dec,POSflag,pmRA,e_pmRA,pmDEC,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,Tmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority,eneg_EBV,epos_EBV,EBVflag,eneg_Mass,epos_Mass,eneg_Rad,epos_Rad,eneg_rho,epos_rho,eneg_logg,epos_logg,eneg_lum,epos_lum,eneg_dist,epos_dist,distflag,eneg_Teff,epos_Teff,TeffFlag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,gaiaqflag,starchareFlag,VmagFlag,BmagFlag,splists,e_RA,e_Dec,RA_orig,Dec_orig,e_RA_orig,e_Dec_orig,raddflag,wdflag,objID,source_id,ruwe
204449649,20190415,,,297-231319,21440484-3042493,,J214404.87-304249.7,6.593213298342141e+18,17372403,,STAR,tmgaia2,326.020205622978,-30.7137219204719,tmgaia2,26.2876,0.0675763,-38.9222,0.0520967,gaia2,2.3066,0.0391417,gaia2,16.3784452687954,-49.1383540155619,317.9067829041,-16.1092494381668,13.105,0.014,12.57,0.069,,,,,,,,,,,11.345,0.023,11.076,0.025,11.017,0.021,AAA-222-111-000-0-0,,10.949,0.023,10.997,0.022,10.897,0.111,9.051,,12.3789,0.000251,11.9508,0.0074,rered,gaia2,5940.0,127.86,4.30347,0.0792162,,,1.21342,0.0590954,1.08,0.138036,0.604494,0.134823,DWARF,1.65143657,0.078602,428.33,7.238,0.0348023,0.006909385,87,0.0547672026,,,0.000367178145,0.00706729,0.00675148,panstarrs,0.16925,0.106822,0.0472693,0.0709216,0.132536,0.13711,0.0699197,0.0885128,0.0833364,0.0738676,7.118,7.358,bj2018,171.332,84.3874,dered,12.7132,0.001559,11.8977,0.001164,1,,ucac4,apassdr9,,1.08684203085168,0.808044224140037,326.020337272124,-30.7138895022257,0.0368731781154377,0.0296829145259121,1,0,1716567196,6.593213298342141e+18,0.9155829
350822747,20190415,,8532-00043-1,153-006745,05575869-5925249,,J055758.69-592524.9,4.764955607174017e+18,27274318,,STAR,tmgaia2,89.4945481044416,-59.423610231297,tmgaia2,2.96059,0.0388924,2.94154,0.0446947,gaia2,1.69751,0.021766,gaia2,268.152195272697,-29.8168111555913,87.9312257083432,-82.8592617655365,12.506,0.361,11.908,0.025,,,,,,,,,,,11.027,0.022,10.775,0.022,10.754,0.023,AAA-222-111-000-0-0,,10.674,0.023,10.7,0.021,10.539,0.058,9.291,0.406,11.8695,0.000277,11.5291,0.006,rered,gaia2,6523.0,133.164,4.09553,0.0886865,,,1.7172,0.0764548,1.34,0.219208,0.264631,0.0619855,DWARF,4.809803,0.2546385,579.289,7.36,0.0379933,0.009801785,100,0.02796839,,,0.00137067353,0.0122831,0.00732047,schlegel,0.176883,0.261534,0.0752347,0.0776749,0.0650883,0.0588826,0.0957427,0.0816304,0.230021,0.279256,7.268,7.452,bj2018,146.494,119.834,dered,12.1202,0.002017,11.4734,0.000836,1,,tycho2v3,tycho2b3,,0.694355966561505,0.693183046996597,89.4945731630588,-59.4235975663354,0.0194400613640087,0.0239883857285944,1,0,555867616,4.764955607174017e+18,1.0356656
350433778,20190415,,8527-01159-1,166-006286,05401455-5648471,,J054014.57-564847.1,4.766529386270701e+18,27262083,,STAR,tmgaia2,85.0606292976538,-56.8130957935636,tmgaia2,16.7888,0.0512385,-6.05945,0.0403182,gaia2,4.52095,0.0214884,gaia2,264.992554520439,-32.0405665136656,74.2799645905283,-79.982448351161,11.481,0.14,11.036,0.01,,,,,,,,,,,10.027,0.026,9.818,0.027,9.729,0.021,AAA-222-111-000-0-0,,9.699,0.023,9.719,0.02,9.69,0.029,9.433,0.376,10.9041,0.000752,10.537,0.006,rered,gaia2,6312.0,128.474,4.46915,0.0835875,,,1.0744,0.0454372,1.24,0.185594,0.999815,0.225935,DWARF,1.65081155,0.0735273,219.791,1.0455,0.0291523,0.01066159,69,0.00498414366,,,0.00546044158,0.0116917,0.00963148,schlegel,0.159101,0.212088,0.0399407,0.0509337,0.167315,0.284554,0.0674512,0.0997238,0.0629908,0.0840638,1.041,1.05,bj2018,126.019,130.929,dered,11.1889,0.002311,10.492,0.001849,1,,tycho2v3,tycho2b3,,0.903216620752687,0.625277037222795,85.06076135614,-56.8131218829321,0.0234256449309396,0.0207664071930245,1,0,549644443,4.766529386270701e+18,1.0169843
167796004,20190415,,8908-01495-1,143-008938,06574283-6132044,,J065742.82-613204.5,5.479213302767098e+18,29894143,,STAR,tmgaia2,104.428502600591,-61.5345664756298,tmgaia2,-9.13939,0.0474175,-12.1174,0.0408145,gaia2,4.1789,0.0202595,gaia2,271.784498719355,-22.9073816750257,148.136644832483,-81.961753464199,11.569,0.133,10.978,0.009,,,,,,,,,,,9.96,0.023,9.77,0.027,9.665,0.022,AAA-222-111-000-0-0,,9.647,0.022,9.69,0.019,9.64,0.032,9.337,0.465,10.8428,0.00027,10.4744,0.006,rered,spect,6061.41,115.584,4.23451,0.0761568,-0.00801011,0.0486191,1.34375,0.0591658,1.13,0.149205,0.465721,0.0975246,DWARF,2.19596028,0.08885355,237.657,1.1525,0.0559221,0.0103121046,127,0.00274080061,,,0.00405217,0.00732191,0.0133023,schlegel,0.122333,0.176077,0.0673477,0.0509839,0.0958273,0.0992218,0.0955037,0.0568099,0.0810848,0.0966223,1.147,1.158,bj2018,142.706,88.4629,spect,11.129,0.000769,10.4284,0.000757,1,,tycho2v3,tycho2b3,,0.855568687996165,0.632921422476666,104.428420041212,-61.534618647794,0.0188137126058681,0.0193766023163086,1,0,576726250,5.479213302767098e+18,1.0185475
238809126,20190415,,,122-169610,21471889-6537190,,J214718.89-653719.0,6.401918586010003e+18,33059998,,STAR,tmgaia2,326.828735730291,-65.6219663015702,tmgaia2,-2.2951,0.0235284,-4.29132,0.0298859,gaia2,3.42396,0.0243923,gaia2,326.53147453208,-42.0954906998359,301.24288729099,-48.2320529481261,14.225,0.016,13.428,0.172,,,,,,,,,,,11.834,0.03,11.408,0.025,11.314,0.03,AAA-222-111-000-0-0,,11.275,0.024,11.323,0.022,11.204,0.188,8.713,,13.1628,0.000257,12.6035,0.006,rered,spect,5125.47,124.06,4.57774,0.0910405,0.081868,0.0753676,0.789615,0.0503317,0.86,0.1073,1.74684,0.46522,DWARF,0.387668073,0.01634185,289.631,2.062,0.0237959,0.01009915,96,0.0244750045,,,0.000721780059,0.0139639,0.0062344,schlegel,0.0844607,0.130139,0.0487312,0.0519322,0.34719,0.58325,0.06724,0.114841,0.0168468,0.0158369,2.048,2.076,bj2018,128.147,119.973,spect,13.635,0.000899,12.5481,0.001102,1,,ucac4,apassdr9,,0.434111153848377,0.463662809673583,326.828711789516,-65.6219847780889,0.0130149419249612,0.0199956196527885,1,0,1716891157,6.401918586010003e+18,0.99996245
261259073,20190415,,9387-01374-1,050-003914,06003887-8007115,,J060038.88-800711.2,5.21096964282626e+18,35118429,,STAR,tmgaia2,90.1620319892266,-80.1198629781233,tmgaia2,-1.2035,0.029874,24.0981,0.0375162,gaia2,1.12528,0.0189145,gaia2,291.912417826706,-28.8676056440823,269.8813909891,-76.4407889715959,12.306,0.241,11.551,0.017,,,,,,,,,,,10.672,0.024,10.43,0.024,10.365,0.024,AAA-222-111-000-0-0,,10.307,0.022,10.333,0.02,10.232,0.043,9.277,,11.7219,0.000186,11.3026,0.006,rered,gaia2,6312.0,131.236,3.51888,0.0854727,,,3.20852,0.155284,1.24,0.190026,0.0375412,0.00845446,DWARF,14.72216,0.8271215,866.486,14.31,0.108096,0.01002998,116,0.003773868,,,0.000469913968,0.00974256,0.0103174,schlegel,0.162874,0.217178,0.182443,0.128125,0.00862766,0.00828126,0.0916786,0.0792667,1.01227,0.641973,14.078,14.542,bj2018,135.216,127.257,dered,12.0458,0.001141,11.2455,0.000648,1,,tycho2v3,tycho2b3,,0.605209975719446,0.581850380032522,90.1620017904429,-80.1197592224155,0.0160985594182146,0.02015776383382,1,0,556407375,5.21096964282626e+18,0.94326764
183802335,20190415,,9348-01009-1,071-001152,01232011-7550050,,J012320.12-755004.9,4.637682738212242e+18,34562509,,STAR,tmgaia2,20.8338077219429,-75.834718254343,tmgaia2,7.36693,0.0413636,-0.215983,0.0317797,gaia2,3.42059,0.020209,gaia2,300.348433592119,-41.1331286368697,306.791694703438,-67.5489633718807,12.606,0.298,12.063,0.02,,,,,,,,,,,10.691,0.022,10.384,0.021,10.314,0.019,AAA-222-111-000-0-0,,10.303,0.022,10.343,0.019,10.276,0.054,9.176,,11.7381,0.000196,11.2971,0.006,rered,spect,6231.6,120.884,4.5109,0.0823584,-0.01,0.12,1.00733,0.0460377,1.2,0.168997,1.17399,0.260512,DWARF,1.37859678,0.05780855,289.905,1.7115,0.0420642,0.009696375,129,0.0208546929,,,0.00152778451,0.0114547,0.00793805,schlegel,0.137911,0.200083,0.0428442,0.0492312,0.195368,0.325656,0.0823477,0.082369,0.0518242,0.0637929,1.702,1.721,bj2018,145.439,96.329,spect,12.0861,0.001581,11.245,0.001092,1,,tycho2v3,tycho2b3,,0.81297202742491,0.492878834355018,20.8339373343106,-75.8347191843046,0.0211042041441239,0.0170064199800623,1,0,515214050,4.637682738212242e+18,0.94306314
150064573,20190415,,8897-00848-1,140-006896,06053640-6207190,,J060536.38-620719.1,5.48120273161956e+18,29858738,,STAR,tmgaia2,91.4016345833781,-62.1219962563308,tmgaia2,-3.27016,0.042764,2.65324,0.0529873,gaia2,1.60682,0.0230039,gaia2,271.312555304122,-29.06041579542,98.4205132729266,-85.5202655687077,12.747,0.473,12.241,0.033,,,,,,,,,,,11.486,0.023,11.332,0.025,11.262,0.023,AAA-222-111-000-0-0,,11.226,0.023,11.238,0.02,11.209,0.075,9.912,,12.208,0.000248,11.9105,0.006,rered,gaia2,6795.0,136.728,4.2955,0.0899797,,,1.42384,0.0626834,1.46,0.248011,0.505789,0.121895,DWARF,3.89381123,0.2299645,611.422,8.666,0.0346441,0.01067675,156,0.0157805253,,,0.001398861,0.0109714,0.0103821,schlegel,0.17959,0.316432,0.0532317,0.0721352,0.0857371,0.158052,0.0968594,0.0831,0.215638,0.244291,8.545,8.787,bj2018,112.158,161.298,dered,12.4237,0.002563,11.8568,0.001041,1,,tycho2v3,tycho2b3,,0.774061562523066,0.821698625880202,91.4016044718686,-62.1219848326618,0.0205391441631317,0.0254905389015285,1,0,557487772,5.48120273161956e+18,1.0830598
389446952,20190415,,,263-196651,20484474-3726188,,J204844.73-372618.8,6.778051034153632e+18,19572552,,STAR,tmgaia2,312.186410655754,-37.4385622522409,tmgaia2,-2.59594,0.0613558,3.12176,0.0372997,gaia2,1.33293,0.0355705,gaia2,5.2147346945495,-38.558382175928,304.302138562609,-18.8882267265355,13.697,0.008,13.128,0.08,,,,,,,,,,,12.141,0.027,11.86,0.026,11.813,0.025,AAA-222-111-000-0-0,,11.778,0.023,11.81,0.023,11.588,0.202,8.882,,13.0301,0.000317,12.6522,0.006,rered,gaia2,6266.0,138.268,4.24489,0.0901755,,,1.37965,0.0698995,1.22,0.18677,0.464574,0.113603,DWARF,2.643582,0.1794955,734.938,19.3745,0.0346796,0.0103485147,117,0.0569791421,,,0.000226303018,0.00848743,0.0122096,schlegel,0.192984,0.180556,0.0559578,0.0838412,0.113589,0.113617,0.0929508,0.0874003,0.188028,0.170963,18.873,19.876,bj2018,145.495,131.04,dered,13.3111,0.000953,12.5935,0.000815,1,,ucac4,apassdr9,,1.0046332208285,0.578444975833687,312.186396579073,-37.4385488113305,0.0317604050881255,0.0186157014536665,1,0,1708599402,6.778051034153632e+18,1.0943943
280911795,20190415,,,046-004182,06473536-8058164,,J064735.38-805816.4,5.207541125052712e+18,35134338,,STAR,tmgaia2,101.897401297125,-80.9712533446586,tmgaia2,2.70822,0.0391451,8.82476,0.0462006,gaia2,2.22061,0.0240994,gaia2,292.796808619614,-26.915704251472,262.683039948264,-75.2839122007898,13.271,0.042,12.668,0.046,,,,,,,,,,,11.347,0.026,11.042,0.023,10.979,0.024,AAA-222-111-000-0-0,,10.926,0.023,10.941,0.02,10.833,0.068,9.334,0.43,12.4981,0.000181,12.0438,0.006,rered,gaia2,6251.0,131.259,4.33874,0.0831437,,,1.23327,0.0568342,1.21,0.172474,0.64508,0.148537,DWARF,2.09222,0.09776605,444.587,4.8,0.146998,0.0095942,132,0.0309497751,,,0.00105176913,0.0066658,0.0125226,schlegel,0.145976,0.198971,0.0568121,0.0568563,0.126228,0.170845,0.0831443,0.0831432,0.102721,0.0928111,4.749,4.851,bj2018,125.065,137.453,dered,12.8515,0.001658,11.9824,0.000864,1,,ucac4,apassdr9,,0.798018500661015,0.716480955101891,101.897475600269,-80.9712153491714,0.0204391561490263,0.0230744334107787,1,0,571931013,5.207541125052712e+18,1.2086544
